id,name,location,description,rating,imageUrl
79,Đỉnh Quế,Quảng Nam,"Với độ cao 1400km, được coi là ngọn núi đẹp nhất của Trường Sơn hùng vĩ, bạn có thể đắm chìm vào không gian cảnh sắt
thiên nhiên tươi đẹp. Bạn như lạc vào chốn bồng lai tiên cảnh, yên bình và lãng mạn vô cùng. Đặt biệt dọc để lên được Đỉnh Quế, bạn sẽ lần lượt sở hữu những bức tranh đẹp tại cổng trời Azứt, thác Ra-ai hay cộng đồng Cơ Tu.",4,http://surl.li/ympldh
80,Thánh Địa Mỹ Sơn,Quảng Nam,"Một thung lũng có đường kính 2km, Nơi đây bao quanh là núi đồi, vô cùng ẩn mình. Địa điểm này từng là nơi tổ chức cúng tế 
vương triều Champa. Khám quá nhiều di sản quý báu khi đến nới đây.",4.5,http://surl.li/qntmjh
81,Núi Thiên Ấn,Quảng Ngãi,"Là một ngọn núi từ lâu đã rất nổi tiếng với khung cảnh hùng vĩ và mang lại một giá trị lịch sử vô cùng lớn lao, với vẻ đẹp thơ
mộng và dịu dàng mà nó mang lại là điểm đặc biệt hu hút khách du lịch hàng năm.",4,http://surl.li/xvbmjs
82,Bãi biển Mỹ Khê,Quảng Ngãi,"Một trong những bãi biển quyến rũ nhất hành tinh, nơi đây có nhiều khách sạn view biển đẹp mắt phù hợp để tận hưởng kì nghỉ",4.5,http://surl.li/exhizd
83,Đồng muối Sa Huỳnh,Quảng Ngãi,"Vựa muối quan trọng nhất miền Trung thân yêu của chúng ta, những bãi muối trắng phao, đến nơi đây bạn sẽ được trãi nghiệm các hoạt động hằng ngày
của bà con nơi đây, hứa hẹn sẽ mang lại cho bạn những trãi nghiệm rất khác so với các hoạt động du lịch như lên rừng hay xuống biển.",4,http://surl.li/coczhv
84,Thác Trắng,Quảng Ngãi,"Khùng cảnh ở đây ấn tượng với rừng núi hoang sơ, trong lành, dòng thác đổ xuống giữa khung cảnh bao quanh là biết bao cây cối sông suối tung bọt trắng xóa",4,http://surl.li/vifezm
85,Đèo Vi O Lắc,Quảng Ngãi,"Nằm cao hơn 1300m so với mực nước biển, sự quanh co uốn lượn của các cung đường cùng với không khí thơ mộng luôn mang đến nhưng vẻ đẹp tuyệt mỹ cùng hàng cỏ xanh tươi mọc hai bên đường khi du khách đi lên đèo là nhưng nét ấn tượng nhất, thú vị nhất",4,http://surl.li/izldds
86,Vịnh Hạ Long,Quảng Ninh,"Là một trong những di sản thiên nhiên thế giới được UNESCO công nhận. Với diện tích 1553km2, gần 2000 hòn đảo lớn nhỏ, 
vịnh Hạ Long được thiên nhiên ưu ái có hệ thống hang động và đảo đá vừa đa dạng lại tuyệt đẹp.",4.8,http://surl.li/oadeki
87,Biển Bãi Cháy,Quảng Ninh,"Bãi Cháy luôn thu hút rất nhiều du khách đến tham quan trải nghiệm và tắm biển. Bãi biển cùng đã có thêm những hoạt động thể thao trên biển như cano, dù bay hay nhà phao để du khách có thể tận hưởng những dịch vụ cao cấp hơn. ",3.9,http://surl.li/saniob
88,Công viên Hạ Long,Quảng Ninh,"Du lịch Hạ Long thì chắc chắn không nên bỏ qua Sun World Halong Park - khu phức hợp giải trí nổi tiếng dành cho mọi lứa tuổi. Nếu bạn đã từng đến VinWonders thì công viên Hạ Long cũng là một thiên đường tương tự như vậy, nhưng sẽ náo nhiệt hơn nhiều nhé. ",4.4,http://surl.li/kdadyl
89,Làng chài Cửa Vạn,Quảng Ninh,"Không chỉ được tận hưởng không gian yên tĩnh, thanh bình nơi đây, du khách còn có thêm những hiểu biết về đời sống văn hóa, thường nhật của các ngư dân. Ngư dân ở đây hết sức thân thiện và mến khách. Hành khách có thể chèo thuyền thúng, cắt cá, câu mực… để hiểu hơn cuộc sống dân chài.",4.6,http://surl.li/mxcags
90,Động Thiên Cung,Quang Ninh,"Với cấu trúc nhiều tầng, nhiều lớp phức tạp, các khối nhũ đá ở đây có nhiều hình dáng kỳ lạ. Hang động này đã được đầu tư
 hệ thống chiếu sáng đầy đủ. Hình ảnh chim muông, hoa lá, hình ảnh sinh hoạt đời thường của con người được chạm khắc bên trong động. Nhiều dấu tích khảo cổ đã được tìm thấy chứng minh cho những giá trị lịch sử quan trọng qua các thời kỳ.",4.4,http://surl.li/pzwmqk
91,Nghĩa trang Liệt sĩ Quốc gia Trường Sơn,Quảng Trị,"Địa điểm ghi dấu ấn về những mất mát, minh chứng cho những gì tàn bạo nhất của giặc ngoại xâm. Nơi này đã đi vào lịch sử, biểu tượng của sự bi tráng và lòng anh dũng của những con người yêu nước, đặt sự độc lập và vận mệnh dân tộc lên hàng đầu.",4.8,http://surl.li/mebyuu
92,Địa đạo Vịnh Mốc,Quảng Trị,"Công trình này ở sâu lòng đất, được người dân đào trong kháng chiến chống Mỹ. Địa đạo gồm có nhiều khu vực như trường học, kho hậu cần, bệnh viện, khu quân sự và khu gia đình. ",4.6,http://surl.li/ogxfcj
93,Bãi biển Cửa Tùng,Quảng Trị," Mùa hè đến bãi biển này, bạn sẽ thấy được nét đẹp bình yên của biển xanh, cát trắng. Khung cảnh tĩnh lặng vào buổi chiều hoàng hôn khiến bao trái tim bị mê hoặc.",4.3,http://surl.li/bxuyel
